pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
1,bristol city fc sheffield united fc teams score,sports_fees_v2,1.0,1550388,elc-bri-she-2026-04-06-btts,https://polymarket.com/event/elc-bri-she-2026-04-06-btts,KXEFLCHAMPIONSHIPGAME-26APR06BRCSHU-BRC,https://kalshi.com/markets/KXEFLCHAMPIONSHIPGAME-26APR06BRCSHU,https://polymarket.com/event/elc-bri-she-2026-04-06-btts,"[""Yes"", ""No""]","[""92290797919460356119824159967695764523208746295002965856258308701879208491292"", ""13800249588462734097467706227657749887185446175757107673378571355077237336902""]",Yes,2026-04-06,2026-04-20T14:00:00Z,2026-04-06
2,lightning sabres lightning,sports_fees_v2,1.0,1552106,nhl-tb-buf-2026-04-06,https://polymarket.com/event/nhl-tb-buf-2026-04-06,KXNHLGAME-26APR06TBBUF-BUF,https://kalshi.com/markets/KXNHLGAME-26APR06TBBUF,https://polymarket.com/event/nhl-tb-buf-2026-04-06,"[""Lightning"", ""Sabres""]","[""11593084589442847433294403991536933286655492685350021834293959588664884812735"", ""77996795055249744377148813185738925676146894330254720019493173933356608197722""]",Lightning,2026-04-06,2026-04-20T23:00:00Z,2026-04-06
3,kraken jets jets,sports_fees_v2,1.0,1552111,nhl-sea-wpg-2026-04-06,https://polymarket.com/event/nhl-sea-wpg-2026-04-06,KXNHLGAME-26APR06SEAWPG-SEA,https://kalshi.com/markets/KXNHLGAME-26APR06SEAWPG,https://polymarket.com/event/nhl-sea-wpg-2026-04-06,"[""Jets"", ""Kraken""]","[""113350338491698829265818925240421789337771254696114726041285487335294700272121"", ""7009136508377768587555085812353998354178495782275177104659280682267913746962""]",Jets,2026-04-06,2026-04-20T23:30:00Z,2026-04-06
4,lightning senators lightning,sports_fees_v2,1.0,1559302,nhl-tb-ott-2026-04-07,https://polymarket.com/event/nhl-tb-ott-2026-04-07,KXNHLGAME-26APR07TBOTT-OTT,https://kalshi.com/markets/KXNHLGAME-26APR07TBOTT,https://polymarket.com/event/nhl-tb-ott-2026-04-07,"[""Lightning"", ""Senators""]","[""111151518511319776541690015623626804508565205760654425247241482609810639205265"", ""17892084660450335619692968555343054913839177043652475005934677676921205726972""]",Lightning,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
5,flyers devils devils,sports_fees_v2,1.0,1559307,nhl-phi-nj-2026-04-07,https://polymarket.com/event/nhl-phi-nj-2026-04-07,KXNHLGAME-26APR07PHINJ-NJ,https://kalshi.com/markets/KXNHLGAME-26APR07PHINJ,https://polymarket.com/event/nhl-phi-nj-2026-04-07,"[""Devils"", ""Flyers""]","[""67317793186736646892887356811963102784832953278305911362730704332646144254259"", ""53556274957776888169320251699995891324608880849121646196535037889439416310008""]",Devils,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
6,panthers canadiens canadiens,sports_fees_v2,1.0,1559312,nhl-fla-mon-2026-04-07,https://polymarket.com/event/nhl-fla-mon-2026-04-07,KXNHLGAME-26APR07FLAMTL-FLA,https://kalshi.com/markets/KXNHLGAME-26APR07FLAMTL,https://polymarket.com/event/nhl-fla-mon-2026-04-07,"[""Canadiens"", ""Panthers""]","[""20053341509244210449214676077375401443071593239984667896595965278826081191540"", ""56184262093389636438560272061591113733380765549736118665447561271411814052628""]",Canadiens,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
7,bruins hurricanes bruins,sports_fees_v2,1.0,1559317,nhl-bos-car-2026-04-07,https://polymarket.com/event/nhl-bos-car-2026-04-07,KXNHLGAME-26APR07BOSCAR-BOS,https://kalshi.com/markets/KXNHLGAME-26APR07BOSCAR,https://polymarket.com/event/nhl-bos-car-2026-04-07,"[""Bruins"", ""Hurricanes""]","[""61494474840606251551778244205501095663604483487941709959650262320638961087015"", ""59330487411412278270169180918108749437459815518333047753836355324199769950750""]",Bruins,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
8,blue jackets red wings blue jackets,sports_fees_v2,1.0,1559322,nhl-cbj-det-2026-04-07,https://polymarket.com/event/nhl-cbj-det-2026-04-07,KXNHLGAME-26APR07CBJDET-CBJ,https://kalshi.com/markets/KXNHLGAME-26APR07CBJDET,https://polymarket.com/event/nhl-cbj-det-2026-04-07,"[""Blue Jackets"", ""Red Wings""]","[""14622339507462060373969045535808206681457133131280515126971384945596288463568"", ""21050348122795806411607345332009631554920586839470712296370264101038732928706""]",Blue Jackets,2026-04-07,2026-04-21T23:00:00Z,2026-04-07
9,exact score girona fc 1 1 villarreal,sports_fees_v2,1.0,1713478,lal-gir-vil-2026-04-06-exact-score-1-1,https://polymarket.com/event/lal-gir-vil-2026-04-06-exact-score-1-1,KXLALIGA1H-26APR06GIRVIL-GIR,https://kalshi.com/markets/KXLALIGA1H-26APR06GIRVIL,https://polymarket.com/event/lal-gir-vil-2026-04-06-exact-score-1-1,"[""Yes"", ""No""]","[""90429458467473333173188881081567139695104714886446980294229200391672644261595"", ""108339220034701683943115012136018471430438535918641776209185627055909127146107""]",Yes,2026-04-06,2026-04-20T19:00:00Z,2026-04-06
10,real madrid fc bayern munchen teams score,sports_fees_v2,1.0,1718890,ucl-rma1-bay1-2026-04-07-btts,https://polymarket.com/event/ucl-rma1-bay1-2026-04-07-btts,KXUCL1H-26APR07RMABMU-BMU,https://kalshi.com/markets/KXUCL1H-26APR07RMABMU,https://polymarket.com/event/ucl-rma1-bay1-2026-04-07-btts,"[""Yes"", ""No""]","[""41093211488385950327734595316920778657986871146776460330990490741744580801933"", ""104408850606082371499614190976675702397006008372583489923393377053034929364978""]",Yes,2026-04-07,2026-04-21T19:00:00Z,2026-04-07
