sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc
Soccer,Bundesliga,high,augsburg; hoffenheim,0,1753624,augsburg hoffenheim,Yes,Augsburg; Hoffenheim,2026-04-10,https://polymarket.com/event/bun-aug-hof-2026-04-10-btts,bun-aug-hof-2026-04-10-btts,https://polymarket.com/event/bun-aug-hof-2026-04-10-btts,"[""Yes"", ""No""]","[""24004729536751194714314593465861578717076531146566786816349434871321077379334"", ""88064268774212130857168758953118418486955763134444310328588298416365078243778""]",2026-04-10,2026-04-10,KXBUNDESLIGABTTS-26APR10FCATSG,KXBUNDESLIGABTTS-26APR10FCATSG,Hoffenheim at Augsburg: Both Teams to Score,Hoffenheim; Augsburg,2026-04-10,https://kalshi.com/markets/KXBUNDESLIGABTTS-26APR10FCATSG,2026-04-24T18:30:00Z
Soccer,La Liga,high,girona; real madrid,0,1754531,real madrid cf real madrid girona,Yes,Real Madrid CF; Real Madrid; Girona,2026-04-10,https://polymarket.com/event/lal-rea-gir-2026-04-10-rea,lal-rea-gir-2026-04-10-rea,https://polymarket.com/event/lal-rea-gir-2026-04-10-rea,"[""Yes"", ""No""]","[""68123516099466290077428575520934927372506134667677348841842822931140599400038"", ""102078078782705821127912981809011957144052595986192586400155215701044862085645""]",2026-04-10,2026-04-10,KXLALIGAGAME-26APR10RMAGIR,KXLALIGAGAME-26APR10RMAGIR-GIR,Real Madrid vs Girona Winner?,Real Madrid; Girona,2026-04-10,https://kalshi.com/markets/KXLALIGAGAME-26APR10RMAGIR-GIR,2026-04-24T19:00:00Z
Soccer,La Liga,high,girona; real madrid,0,1755140,real madrid cf girona real madrid,Yes,Real Madrid CF; Girona; Real Madrid,2026-04-10,https://polymarket.com/event/lal-rea-gir-2026-04-10-btts,lal-rea-gir-2026-04-10-btts,https://polymarket.com/event/lal-rea-gir-2026-04-10-btts,"[""Yes"", ""No""]","[""16243387632514316220670708216377886603860942112338848590677924323782745216729"", ""115406750869471466808470685382978354090969770455337608774742409094687022282580""]",2026-04-10,2026-04-10,KXLALIGABTTS-26APR10RMAGIR,KXLALIGABTTS-26APR10RMAGIR,Girona at Real Madrid: Both Teams to Score,Girona; Real Madrid,2026-04-10,https://kalshi.com/markets/KXLALIGABTTS-26APR10RMAGIR,2026-04-24T19:00:00Z
Baseball,KBO,high,doosan bears; kiwoom heroes,0,1844547,doosan bears kiwoom heroes,Doosan Bears,Doosan Bears; Kiwoom Heroes,2026-04-09,https://polymarket.com/event/kbo-kiw-doo-2026-04-09,kbo-kiw-doo-2026-04-09,https://polymarket.com/event/kbo-kiw-doo-2026-04-09,"[""Doosan Bears"", ""Kiwoom Heroes""]","[""27542284364283801633666454413823946381433857676456338705759282616993477952681"", ""33695597537458489774687447142916032024004638331380838600383583347776523338470""]",2026-04-16,2026-04-16,KXKBOGAME-26APR090530KIWDOO,KXKBOGAME-26APR090530KIWDOO-DOO,Kiwoom Heroes vs Doosan Bears winner?,Kiwoom Heroes; Doosan Bears,2026-04-09,https://kalshi.com/markets/KXKBOGAME-26APR090530KIWDOO-DOO,2026-04-12T14:00:00Z
Baseball,KBO,high,hanwha eagles; ssg landers,0,1844551,hanwha eagles ssg landers,Hanwha Eagles,Hanwha Eagles; SSG Landers,2026-04-09,https://polymarket.com/event/kbo-han-ssg-2026-04-09,kbo-han-ssg-2026-04-09,https://polymarket.com/event/kbo-han-ssg-2026-04-09,"[""Hanwha Eagles"", ""SSG Landers""]","[""53132685935246362650425288168769731787047037607420498691584536674843461290186"", ""86792364096019099768846705707676333982019581945654083922766727539571955637415""]",2026-04-16,2026-04-16,KXKBOGAME-26APR090530HANSSG,KXKBOGAME-26APR090530HANSSG-HAN,Hanwha Eagles vs SSG Landers winner?,Hanwha Eagles; SSG Landers,2026-04-09,https://kalshi.com/markets/KXKBOGAME-26APR090530HANSSG-HAN,2026-04-12T14:00:00Z
Baseball,KBO,high,kt wiz; lotte giants,0,1844566,kt wiz lotte giants,KT Wiz,KT Wiz; Lotte Giants,2026-04-09,https://polymarket.com/event/kbo-kt-lot-2026-04-09,kbo-kt-lot-2026-04-09,https://polymarket.com/event/kbo-kt-lot-2026-04-09,"[""KT Wiz"", ""Lotte Giants""]","[""24888214014909599341874521918542873745563139599502257377878711862794262647317"", ""100101392864487963407716623712873162186783500641236359095394159241747475529493""]",2026-04-16,2026-04-16,KXKBOGAME-26APR090530KTWLOT,KXKBOGAME-26APR090530KTWLOT-KTW,KT Wiz vs Lotte Giants winner?,KT Wiz; Lotte Giants,2026-04-09,https://kalshi.com/markets/KXKBOGAME-26APR090530KTWLOT-KTW,2026-04-12T14:00:00Z
Baseball,KBO,high,lg twins; nc dinos,0,1844575,lg twins nc dinos,LG Twins,LG Twins; NC Dinos,2026-04-09,https://polymarket.com/event/kbo-lg-nc-2026-04-09,kbo-lg-nc-2026-04-09,https://polymarket.com/event/kbo-lg-nc-2026-04-09,"[""LG Twins"", ""NC Dinos""]","[""74976443312161872685034435340784481928085151264349676805333732469233089502708"", ""25991594780672865299341461764645237946367635972066834505116597028443309689493""]",2026-04-16,2026-04-16,KXKBOGAME-26APR090530LGNCD,KXKBOGAME-26APR090530LGNCD-LG,LG Twins vs NC Dinos winner?,LG Twins; NC Dinos,2026-04-09,https://kalshi.com/markets/KXKBOGAME-26APR090530LGNCD-LG,2026-04-12T14:00:00Z
Baseball,KBO,high,kia tigers; samsung lions,0,1844590,kia tigers samsung lions,Kia Tigers,Kia Tigers; Samsung Lions,2026-04-09,https://polymarket.com/event/kbo-sam-kia-2026-04-09,kbo-sam-kia-2026-04-09,https://polymarket.com/event/kbo-sam-kia-2026-04-09,"[""Kia Tigers"", ""Samsung Lions""]","[""8021252675705540489618421713053401689926993297553107818793890213201590359631"", ""97439509830350502609195656386890720506605068961430239049231407323395177370538""]",2026-04-16,2026-04-16,KXKBOGAME-26APR090530SAMKIA,KXKBOGAME-26APR090530SAMKIA-KIA,Samsung Lions vs Kia Tigers winner?,Samsung Lions; Kia Tigers,2026-04-09,https://kalshi.com/markets/KXKBOGAME-26APR090530SAMKIA-KIA,2026-04-12T14:00:00Z
Cricket,IPL,high,kolkata knight riders; lucknow super giants,0,1831591,kolkata knight riders lucknow super giants luciano,Kolkata Knight Riders,Kolkata Knight Riders; Lucknow Super Giants; Luciano,2026-04-09,https://polymarket.com/event/cricipl-kol-luc-2026-04-09,cricipl-kol-luc-2026-04-09,https://polymarket.com/event/cricipl-kol-luc-2026-04-09,"[""Kolkata Knight Riders"", ""Lucknow Super Giants""]","[""20994999450418646625607343049053915187661854374961490789349968414006072201453"", ""114069619728365717365213547758236037233539614349096135240391410683869625477794""]",2026-04-16,2026-04-16,KXIPLGAME-26APR09LSGKKR,KXIPLGAME-26APR09LSGKKR-KKR,Kolkata Knight Riders vs Lucknow Super Giants Winner?,Kolkata Knight Riders; Lucknow Super Giants,2026-04-09,https://kalshi.com/markets/KXIPLGAME-26APR09LSGKKR-KKR,2026-04-12T14:00:00Z
Esports,LoL,high,anyone's legend; jd gaming,0,1844410,anyone's legend jd gaming,Anyone's Legend,Anyone's Legend; JD Gaming,2026-04-10,https://polymarket.com/event/lol-jdg-al-2026-04-10,lol-jdg-al-2026-04-10,https://polymarket.com/event/lol-jdg-al-2026-04-10,"[""Anyone's Legend"", ""JD Gaming""]","[""100299413327859586325847821274629459991007394889129443306551943825130928889214"", ""50617660978629314363269326128391222973705259354826571863346581181839497361326""]",2026-04-10,2026-04-10,KXLOLGAME-26APR100700ALJDG,KXLOLGAME-26APR100700ALJDG-AL,Will Anyone's Legend win the Anyone's Legend vs. JD Gaming League of Legends match?,Anyone's Legend; JD Gaming,2026-04-10,https://kalshi.com/markets/KXLOLGAME-26APR100700ALJDG-AL,2026-04-24T11:00:00Z
