pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,kalshi_market_id,kalshi_url,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
pair-0270,Brighton & Hove Albion FC vs. Chelsea FC: Both Teams to Score,sports,1.0,0x8cebbaad3b7c0502fd02dace5a7051c0298f11ce371be46294a84ca8b114fbc3,epl-bri-che-2026-04-21-btts,https://polymarket.com/market/epl-bri-che-2026-04-21-btts,,"[""Yes"", ""No""]","[""75548399534166148770864748344403512811021040032729315469366377073057978083957"", ""54860832677523346652859751685718821444165643646787046637499233197709594588317""]",yes,KXEPLBTTS-26APR21BRICFC,https://kalshi.com/markets/kxeplbtts-26apr21bricfc/chelsea-at-brighton-both-teams-to-score/kxeplbtts-26apr21bricfc,2026-04-21T19:00:00Z,2026-05-05T19:00:00Z,2026-05-05T19:00:00Z
pair-0271,Girona FC vs. Real Betis Balompié: Both Teams to Score,sports,1.0,0xfb34cf158a46076f440aa8f9957f62c520206a027297e1214bcc87ea436008c5,lal-gir-bet-2026-04-21-btts,https://polymarket.com/market/lal-gir-bet-2026-04-21-btts,,"[""Yes"", ""No""]","[""83710817076031929673243968274525257013065861371243481707095077929360028754190"", ""39042248432952053078917961756048364029911487893549602287679502477449276469301""]",yes,KXLALIGABTTS-26APR21GIRRBB,https://kalshi.com/markets/kxlaligabtts-26apr21girrbb/real-betis-at-girona-both-teams-to-score/kxlaligabtts-26apr21girrbb,2026-04-21T19:30:00Z,2026-05-05T19:30:00Z,2026-05-05T19:30:00Z
pair-0272,Houston Astros vs. Cleveland Guardians,sports,1.0,0x7614a997fffddbbb203725f753fa0f972033af18d7a211688e22afd5ea5bdbee,mlb-hou-cle-2026-04-20,https://polymarket.com/market/mlb-hou-cle-2026-04-20,,"[""Houston Astros"", ""Cleveland Guardians""]","[""84171940203387891754355042236688568947664084891081752041954668776466685146188"", ""42063496832831659770428309395515289250477241121019230402229578288056030060008""]",Cleveland Guardians,KXMLBGAME-26APR201810HOUCLE-CLE,https://kalshi.com/markets/kxmlbgame-26apr201810houcle/houston-vs-cleveland/kxmlbgame-26apr201810houcle-cle,2026-04-27T22:10:00Z,2026-04-23T22:10:00Z,2026-04-23T22:10:00Z
pair-0273,Houston Astros vs. Cleveland Guardians,sports,1.0,0x7614a997fffddbbb203725f753fa0f972033af18d7a211688e22afd5ea5bdbee,mlb-hou-cle-2026-04-20,https://polymarket.com/market/mlb-hou-cle-2026-04-20,,"[""Houston Astros"", ""Cleveland Guardians""]","[""84171940203387891754355042236688568947664084891081752041954668776466685146188"", ""42063496832831659770428309395515289250477241121019230402229578288056030060008""]",Houston Astros,KXMLBGAME-26APR201810HOUCLE-HOU,https://kalshi.com/markets/kxmlbgame-26apr201810houcle/houston-vs-cleveland/kxmlbgame-26apr201810houcle-hou,2026-04-27T22:10:00Z,2026-04-23T22:10:00Z,2026-04-23T22:10:00Z
pair-0274,Houston Astros vs. Cleveland Guardians,sports,1.0,0x7614a997fffddbbb203725f753fa0f972033af18d7a211688e22afd5ea5bdbee,mlb-hou-cle-2026-04-20,https://polymarket.com/market/mlb-hou-cle-2026-04-20,,"[""Houston Astros"", ""Cleveland Guardians""]","[""84171940203387891754355042236688568947664084891081752041954668776466685146188"", ""42063496832831659770428309395515289250477241121019230402229578288056030060008""]",Cleveland Guardians,KXMLBGAME-26APR201810HOUCLE-CLE,https://kalshi.com/markets/kxmlbgame-26apr201810houcle/houston-vs-cleveland/kxmlbgame-26apr201810houcle-cle,2026-04-27T22:10:00Z,2026-04-23T22:10:00Z,2026-04-23T22:10:00Z
pair-0275,Houston Astros vs. Cleveland Guardians,sports,1.0,0x7614a997fffddbbb203725f753fa0f972033af18d7a211688e22afd5ea5bdbee,mlb-hou-cle-2026-04-20,https://polymarket.com/market/mlb-hou-cle-2026-04-20,,"[""Houston Astros"", ""Cleveland Guardians""]","[""84171940203387891754355042236688568947664084891081752041954668776466685146188"", ""42063496832831659770428309395515289250477241121019230402229578288056030060008""]",Houston Astros,KXMLBGAME-26APR201810HOUCLE-HOU,https://kalshi.com/markets/kxmlbgame-26apr201810houcle/houston-vs-cleveland/kxmlbgame-26apr201810houcle-hou,2026-04-27T22:10:00Z,2026-04-23T22:10:00Z,2026-04-23T22:10:00Z
pair-0276,Houston Astros vs. Cleveland Guardians,sports,1.0,0xee64fbf357d404c0ad0f44c6c4eaf976035dad7aee615e656aeeb80dc5d7dfd3,mlb-hou-cle-2026-04-21,https://polymarket.com/market/mlb-hou-cle-2026-04-21,,"[""Houston Astros"", ""Cleveland Guardians""]","[""39081346353006536759069875933248580506402057818719513737613623373505481099715"", ""70051649980511860708016616485852945630010848662627581575809906671170014459610""]",Cleveland Guardians,KXMLBGAME-26APR211810HOUCLE-CLE,https://kalshi.com/markets/kxmlbgame-26apr211810houcle/houston-vs-cleveland/kxmlbgame-26apr211810houcle-cle,2026-04-28T22:10:00Z,2026-04-24T22:10:00Z,2026-04-24T22:10:00Z
pair-0277,Houston Astros vs. Cleveland Guardians,sports,1.0,0xee64fbf357d404c0ad0f44c6c4eaf976035dad7aee615e656aeeb80dc5d7dfd3,mlb-hou-cle-2026-04-21,https://polymarket.com/market/mlb-hou-cle-2026-04-21,,"[""Houston Astros"", ""Cleveland Guardians""]","[""39081346353006536759069875933248580506402057818719513737613623373505481099715"", ""70051649980511860708016616485852945630010848662627581575809906671170014459610""]",Houston Astros,KXMLBGAME-26APR211810HOUCLE-HOU,https://kalshi.com/markets/kxmlbgame-26apr211810houcle/houston-vs-cleveland/kxmlbgame-26apr211810houcle-hou,2026-04-28T22:10:00Z,2026-04-24T22:10:00Z,2026-04-24T22:10:00Z
pair-0278,Houston Astros vs. Cleveland Guardians,sports,1.0,0xee64fbf357d404c0ad0f44c6c4eaf976035dad7aee615e656aeeb80dc5d7dfd3,mlb-hou-cle-2026-04-21,https://polymarket.com/market/mlb-hou-cle-2026-04-21,,"[""Houston Astros"", ""Cleveland Guardians""]","[""39081346353006536759069875933248580506402057818719513737613623373505481099715"", ""70051649980511860708016616485852945630010848662627581575809906671170014459610""]",Cleveland Guardians,KXMLBGAME-26APR211810HOUCLE-CLE,https://kalshi.com/markets/kxmlbgame-26apr211810houcle/houston-vs-cleveland/kxmlbgame-26apr211810houcle-cle,2026-04-28T22:10:00Z,2026-04-24T22:10:00Z,2026-04-24T22:10:00Z
pair-0279,Houston Astros vs. Cleveland Guardians,sports,1.0,0xee64fbf357d404c0ad0f44c6c4eaf976035dad7aee615e656aeeb80dc5d7dfd3,mlb-hou-cle-2026-04-21,https://polymarket.com/market/mlb-hou-cle-2026-04-21,,"[""Houston Astros"", ""Cleveland Guardians""]","[""39081346353006536759069875933248580506402057818719513737613623373505481099715"", ""70051649980511860708016616485852945630010848662627581575809906671170014459610""]",Houston Astros,KXMLBGAME-26APR211810HOUCLE-HOU,https://kalshi.com/markets/kxmlbgame-26apr211810houcle/houston-vs-cleveland/kxmlbgame-26apr211810houcle-hou,2026-04-28T22:10:00Z,2026-04-24T22:10:00Z,2026-04-24T22:10:00Z
