pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,kalshi_market_id,kalshi_url,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
pair-0270,Don Cheadle as James Rhodes / War Machine?,other,0.721,0x6fe9f26e476b3db70ddda41e130dae8afe499cb78ef247daaf3336217366ebde,don-cheadle-as-james-rhodes-war-machine,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""110533070401141175756093897533728505442755817510608792076026597145770415445875"", ""85778441912691463251341630554856249376099542098824579431300929900792989305758""]",yes,KXROLEINPRODUCTIONDOOMSDAY-DON,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0271,Hailee Steinfeld as Kate Bishop?,other,0.686,0xf9a646015bbf0c35b5de4bd4d69a5c78edf65c1c94b05104717237de154fc173,hailee-steinfeld-as-kate-bishop,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""55395045076319062588397081101785435878149355480677564888519033706728493243064"", ""97875391356108545053805447795551643954885437349003365999359624350495902485944""]",yes,KXROLEINPRODUCTIONDOOMSDAY-HAI,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0272,Andrew Garfield as Spider-Man?,other,0.664,0x07eaadb00e3996a0877b0242b702391addfe503766b0137807a41e13f5a0eb2d,andrew-garfield-as-spider-man,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""68016070898579371793410743715293986740416700371690232299536826711242218947817"", ""62875500961934867329643911972416953023569182994698161297915821723621708014068""]",yes,KXROLEINPRODUCTIONDOOMSDAY-AND,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0273,Teyonah Parris as Monica Rambeau?,other,0.656,0xe9f21f3752e963d62932423d02def8a1dbb8039304582047258620e11755da34,teyonah-parris-as-monica-rambeau,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""72462514912914940166334920583853001835023998368835697910341655892717196263119"", ""83904617748987077445826053174824297828613093491674757041932411865009345410752""]",yes,KXROLEINPRODUCTIONDOOMSDAY-TEY,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0274,Kathryn Newton as Cassie Lang?,other,0.654,0xb591dce919a811166f8b0db83b1c412ed16ef3d7c755b42a19daaaac715c5068,kathryn-newton-as-cassie-lang,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""67638020585446388190215869769224424761697244684156611996966432757821520587051"", ""26792167551994355377367015670194384938921892877807488094243261794338600991622""]",yes,KXROLEINPRODUCTIONDOOMSDAY-KET,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0275,Benedict Cumberbatch as Doctor Strange?,other,0.654,0x2391aa63093c13686c5aedec491b8c140840e564ccb30ba9ccfefb35f0e9a7ed,benedict-cumberbatch-as-doctor-strange,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""16878050981643112777821059108171483937632060284831508053174271738315255620196"", ""13302320243880759658475151845787793152618664146766020467326370428391553385223""]",yes,KXROLEINPRODUCTIONDOOMSDAY-BEN,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0276,Jon Favreau as Happy Hogan?,other,0.648,0x76415d8735b0e5bf13d2ec0473ead9bd40f07ea8c82487328408db95cb3a602f,jon-favreau-as-happy-hogan,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""7635952612306479744669760894674385336630785520358721944622354753351722785845"", ""58546825471137358096167515330633357061562140083382686893396632410637488473409""]",yes,KXROLEINPRODUCTIONDOOMSDAY-JONF,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0277,Brie Larson as Captain Marvel?,other,0.645,0x7560d17de8eba126e67e2d32e88faf61b0fa558d88b258accaf097e43a0382c5,brie-larson-as-captain-marvel,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""72899848462865543220945202532588425068495923433389493382406947679185484132813"", ""106520483432245094343589248984020977986956989238104116572498313400925444640397""]",yes,KXROLEINPRODUCTIONDOOMSDAY-BRI,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0278,Tom Holland as Spider-Man?,other,0.629,0x116ef6172ae1fa2b206be1910f41a27f4a25bb7ed54d761157973a59518bd3ad,tom-holland-as-spider-man,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""34663064867515617584765935115198899016647447627664745186284741307916425794046"", ""75932822712132238513281575898050236279657545696615509110518019834612475640299""]",yes,KXROLEINPRODUCTIONDOOMSDAY-TOM,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0279,Halle Berry as Storm?,other,0.596,0xc5b8a7e89e60c30d6c1e3ab30353708344e571c5e0be69459b0de480f7e6fb72,halle-berry-as-storm,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""27551633642786834332917678086883178205516640494172228708865870949809507620740"", ""100270294749386062734664856836525535079810662801547357161884689034217519459107""]",yes,KXROLEINPRODUCTIONDOOMSDAY-HAL,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
