pair_id,title_clean,category_tag,sport,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc,kalshi_t2_ticker,kalshi_tie_ticker
1,brighton chelsea,sports_fees_v2,Soccer,1.0,1915466,epl-bri-che-2026-04-21-btts,https://polymarket.com/event/epl-bri-che-2026-04-21-btts,KXEPLBTTS-26APR21BRICFC,https://kalshi.com/markets/KXEPLBTTS-26APR21BRICFC,https://polymarket.com/event/epl-bri-che-2026-04-21-btts,"[""Yes"", ""No""]","[""75548399534166148770864748344403512811021040032729315469366377073057978083957"", ""54860832677523346652859751685718821444165643646787046637499233197709594588317""]",Yes,2026-04-21,2026-05-05T19:00:00Z,2026-04-21,,
2,girona real betis,sports_fees_v2,Soccer,1.0,1916148,lal-gir-bet-2026-04-21-btts,https://polymarket.com/event/lal-gir-bet-2026-04-21-btts,KXLALIGABTTS-26APR21GIRRBB,https://kalshi.com/markets/KXLALIGABTTS-26APR21GIRRBB,https://polymarket.com/event/lal-gir-bet-2026-04-21-btts,"[""Yes"", ""No""]","[""83710817076031929673243968274525257013065861371243481707095077929360028754190"", ""39042248432952053078917961756048364029911487893549602287679502477449276469301""]",Yes,2026-04-21,2026-05-05T19:30:00Z,2026-04-21,,
3,guardians astros,sports_fees_v2,Baseball,1.0,1980453,mlb-hou-cle-2026-04-20,https://polymarket.com/event/mlb-hou-cle-2026-04-20,KXMLBGAME-26APR201810HOUCLE-CLE,https://kalshi.com/markets/KXMLBGAME-26APR201810HOUCLE-CLE,https://polymarket.com/event/mlb-hou-cle-2026-04-20,"[""Cleveland Guardians"", ""Houston Astros""]","[""42063496832831659770428309395515289250477241121019230402229578288056030060008"", ""84171940203387891754355042236688568947664084891081752041954668776466685146188""]",Cleveland Guardians,2026-04-27,2026-04-23T22:10:00Z,2026-04-27,,
4,astros guardians,sports_fees_v2,Baseball,1.0,1980453,mlb-hou-cle-2026-04-20,https://polymarket.com/event/mlb-hou-cle-2026-04-20,KXMLBGAME-26APR201810HOUCLE-HOU,https://kalshi.com/markets/KXMLBGAME-26APR201810HOUCLE-HOU,https://polymarket.com/event/mlb-hou-cle-2026-04-20,"[""Houston Astros"", ""Cleveland Guardians""]","[""84171940203387891754355042236688568947664084891081752041954668776466685146188"", ""42063496832831659770428309395515289250477241121019230402229578288056030060008""]",Houston Astros,2026-04-27,2026-04-23T22:10:00Z,2026-04-27,,
5,guardians astros,sports_fees_v2,Baseball,1.0,1991466,mlb-hou-cle-2026-04-21,https://polymarket.com/event/mlb-hou-cle-2026-04-21,KXMLBGAME-26APR211810HOUCLE-CLE,https://kalshi.com/markets/KXMLBGAME-26APR211810HOUCLE-CLE,https://polymarket.com/event/mlb-hou-cle-2026-04-21,"[""Cleveland Guardians"", ""Houston Astros""]","[""70051649980511860708016616485852945630010848662627581575809906671170014459610"", ""39081346353006536759069875933248580506402057818719513737613623373505481099715""]",Cleveland Guardians,2026-04-28,2026-04-24T22:10:00Z,2026-04-28,,
6,astros guardians,sports_fees_v2,Baseball,1.0,1991466,mlb-hou-cle-2026-04-21,https://polymarket.com/event/mlb-hou-cle-2026-04-21,KXMLBGAME-26APR211810HOUCLE-HOU,https://kalshi.com/markets/KXMLBGAME-26APR211810HOUCLE-HOU,https://polymarket.com/event/mlb-hou-cle-2026-04-21,"[""Houston Astros"", ""Cleveland Guardians""]","[""39081346353006536759069875933248580506402057818719513737613623373505481099715"", ""70051649980511860708016616485852945630010848662627581575809906671170014459610""]",Houston Astros,2026-04-28,2026-04-24T22:10:00Z,2026-04-28,,
7,marlins cardinals,sports_fees_v2,Baseball,1.0,1980455,mlb-stl-mia-2026-04-20,https://polymarket.com/event/mlb-stl-mia-2026-04-20,KXMLBGAME-26APR201840STLMIA-MIA,https://kalshi.com/markets/KXMLBGAME-26APR201840STLMIA-MIA,https://polymarket.com/event/mlb-stl-mia-2026-04-20,"[""Miami Marlins"", ""St. Louis Cardinals""]","[""61570550328678557885769336139152680970324706798064990791927974810198246944007"", ""2695851027304595042335469224658093236033615156301512088856468044704191581599""]",Miami Marlins,2026-04-27,2026-04-23T22:40:00Z,2026-04-27,,
8,cardinals marlins,sports_fees_v2,Baseball,1.0,1980455,mlb-stl-mia-2026-04-20,https://polymarket.com/event/mlb-stl-mia-2026-04-20,KXMLBGAME-26APR201840STLMIA-STL,https://kalshi.com/markets/KXMLBGAME-26APR201840STLMIA-STL,https://polymarket.com/event/mlb-stl-mia-2026-04-20,"[""St. Louis Cardinals"", ""Miami Marlins""]","[""2695851027304595042335469224658093236033615156301512088856468044704191581599"", ""61570550328678557885769336139152680970324706798064990791927974810198246944007""]",St. Louis Cardinals,2026-04-27,2026-04-23T22:40:00Z,2026-04-27,,
9,marlins cardinals,sports_fees_v2,Baseball,1.0,1991471,mlb-stl-mia-2026-04-21,https://polymarket.com/event/mlb-stl-mia-2026-04-21,KXMLBGAME-26APR211840STLMIA-MIA,https://kalshi.com/markets/KXMLBGAME-26APR211840STLMIA-MIA,https://polymarket.com/event/mlb-stl-mia-2026-04-21,"[""Miami Marlins"", ""St. Louis Cardinals""]","[""35740796505117548849930073197492288998647841257541940520819094081795438522967"", ""24985348558669368259238615081713003571967643393800404018845754923134699719722""]",Miami Marlins,2026-04-28,2026-04-24T22:40:00Z,2026-04-28,,
10,cardinals marlins,sports_fees_v2,Baseball,1.0,1991471,mlb-stl-mia-2026-04-21,https://polymarket.com/event/mlb-stl-mia-2026-04-21,KXMLBGAME-26APR211840STLMIA-STL,https://kalshi.com/markets/KXMLBGAME-26APR211840STLMIA-STL,https://polymarket.com/event/mlb-stl-mia-2026-04-21,"[""St. Louis Cardinals"", ""Miami Marlins""]","[""24985348558669368259238615081713003571967643393800404018845754923134699719722"", ""35740796505117548849930073197492288998647841257541940520819094081795438522967""]",St. Louis Cardinals,2026-04-28,2026-04-24T22:40:00Z,2026-04-28,,
