sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc
Ice Hockey,NHL,high,lightning; senators,0,1559302,lightning senators lightning,Lightning,Lightning; Senators,2026-04-07,https://polymarket.com/event/nhl-tb-ott-2026-04-07,nhl-tb-ott-2026-04-07,https://polymarket.com/event/nhl-tb-ott-2026-04-07,"[""Lightning"", ""Senators""]","[""111151518511319776541690015623626804508565205760654425247241482609810639205265"", ""17892084660450335619692968555343054913839177043652475005934677676921205726972""]",2026-04-07,2026-04-07,KXNHLGAME-26APR07TBOTT,KXNHLGAME-26APR07TBOTT-TB,Tampa Bay at Ottawa Winner?,Lightning; Senators,2026-04-07,https://kalshi.com/markets/KXNHLGAME-26APR07TBOTT-TB,2026-04-21T23:00:00Z
Ice Hockey,NHL,high,devils; flyers,0,1559307,flyers devils devils,Devils,Devils; Flyers,2026-04-07,https://polymarket.com/event/nhl-phi-nj-2026-04-07,nhl-phi-nj-2026-04-07,https://polymarket.com/event/nhl-phi-nj-2026-04-07,"[""Devils"", ""Flyers""]","[""67317793186736646892887356811963102784832953278305911362730704332646144254259"", ""53556274957776888169320251699995891324608880849121646196535037889439416310008""]",2026-04-07,2026-04-07,KXNHLGAME-26APR07PHINJ,KXNHLGAME-26APR07PHINJ-NJ,Philadelphia at New Jersey Winner?,Flyers; Devils,2026-04-07,https://kalshi.com/markets/KXNHLGAME-26APR07PHINJ-NJ,2026-04-21T23:00:00Z
Ice Hockey,NHL,high,canadiens; panthers,0,1559312,panthers canadiens canadiens,Canadiens,Canadiens; Panthers,2026-04-07,https://polymarket.com/event/nhl-fla-mon-2026-04-07,nhl-fla-mon-2026-04-07,https://polymarket.com/event/nhl-fla-mon-2026-04-07,"[""Canadiens"", ""Panthers""]","[""20053341509244210449214676077375401443071593239984667896595965278826081191540"", ""56184262093389636438560272061591113733380765549736118665447561271411814052628""]",2026-04-07,2026-04-07,KXNHLGAME-26APR07FLAMTL,KXNHLGAME-26APR07FLAMTL-MTL,Florida at Montreal Winner?,Panthers; Canadiens,2026-04-07,https://kalshi.com/markets/KXNHLGAME-26APR07FLAMTL-MTL,2026-04-21T23:00:00Z
Ice Hockey,NHL,high,bruins; hurricanes,0,1559317,bruins hurricanes bruins,Bruins,Bruins; Hurricanes,2026-04-07,https://polymarket.com/event/nhl-bos-car-2026-04-07,nhl-bos-car-2026-04-07,https://polymarket.com/event/nhl-bos-car-2026-04-07,"[""Bruins"", ""Hurricanes""]","[""61494474840606251551778244205501095663604483487941709959650262320638961087015"", ""59330487411412278270169180918108749437459815518333047753836355324199769950750""]",2026-04-07,2026-04-07,KXNHLGAME-26APR07BOSCAR,KXNHLGAME-26APR07BOSCAR-BOS,Boston at Carolina Winner?,Bruins; Hurricanes,2026-04-07,https://kalshi.com/markets/KXNHLGAME-26APR07BOSCAR-BOS,2026-04-21T23:00:00Z
Ice Hockey,NHL,high,blue jackets; red wings,0,1559322,blue jackets red wings blue jackets,Blue Jackets,Blue Jackets; Red Wings,2026-04-07,https://polymarket.com/event/nhl-cbj-det-2026-04-07,nhl-cbj-det-2026-04-07,https://polymarket.com/event/nhl-cbj-det-2026-04-07,"[""Blue Jackets"", ""Red Wings""]","[""14622339507462060373969045535808206681457133131280515126971384945596288463568"", ""21050348122795806411607345332009631554920586839470712296370264101038732928706""]",2026-04-07,2026-04-07,KXNHLGAME-26APR07CBJDET,KXNHLGAME-26APR07CBJDET-CBJ,Columbus at Detroit Winner?,Blue Jackets; Red Wings,2026-04-07,https://kalshi.com/markets/KXNHLGAME-26APR07CBJDET-CBJ,2026-04-21T23:00:00Z
Soccer,Champions League,high,bayern munich; real madrid,0,1718890,real madrid fc bayern munchen teams score,Yes,Real Madrid; Bayern Munich,2026-04-07,https://polymarket.com/event/ucl-rma1-bay1-2026-04-07-btts,ucl-rma1-bay1-2026-04-07-btts,https://polymarket.com/event/ucl-rma1-bay1-2026-04-07-btts,"[""Yes"", ""No""]","[""41093211488385950327734595316920778657986871146776460330990490741744580801933"", ""104408850606082371499614190976675702397006008372583489923393377053034929364978""]",2026-04-07,2026-04-07,KXUCLBTTS-26APR07RMABMU,KXUCLBTTS-26APR07RMABMU,Bayern Munich at Real Madrid: Both Teams to Score,Bayern Munich; Real Madrid,2026-04-07,https://kalshi.com/markets/KXUCLBTTS-26APR07RMABMU,2026-04-21T19:00:00Z
Soccer,Champions League,high,arsenal; sporting cp,0,1718899,sporting cp arsenal fc teams score,Yes,Sporting CP; Arsenal,2026-04-07,https://polymarket.com/event/ucl-spo1-ars-2026-04-07-btts,ucl-spo1-ars-2026-04-07-btts,https://polymarket.com/event/ucl-spo1-ars-2026-04-07-btts,"[""Yes"", ""No""]","[""44149737625574959248547430781387915190339069023387334312881498446696555632881"", ""45948896637962620830514131276326949115451385424652486323941267582438176584478""]",2026-04-07,2026-04-07,KXUCLBTTS-26APR07SPOARS,KXUCLBTTS-26APR07SPOARS,Arsenal at Sporting CP: Both Teams to Score,Arsenal; Sporting CP,2026-04-07,https://kalshi.com/markets/KXUCLBTTS-26APR07SPOARS,2026-04-21T19:00:00Z
Basketball,NBA,high,bucks; nets,0,1815992,bucks nets bucks,Bucks,Bucks; Nets,2026-04-07,https://polymarket.com/event/nba-mil-bkn-2026-04-07,nba-mil-bkn-2026-04-07,https://polymarket.com/event/nba-mil-bkn-2026-04-07,"[""Bucks"", ""Nets""]","[""93072992077554393278405727794696069000725842181173500464232671377232327287819"", ""24075484028023309464832318293775939879498249291614665099119379908857537744994""]",2026-04-07,2026-04-07,KXNBAGAME-26APR07MILBKN,KXNBAGAME-26APR07MILBKN-MIL,Milwaukee at Brooklyn Winner?,Bucks; Nets,2026-04-07,https://kalshi.com/markets/KXNBAGAME-26APR07MILBKN-MIL,2026-04-21T23:30:00Z
Basketball,NBA,high,heat; raptors,0,1816002,heat raptors heat,Heat,Heat; Raptors,2026-04-07,https://polymarket.com/event/nba-mia-tor-2026-04-07,nba-mia-tor-2026-04-07,https://polymarket.com/event/nba-mia-tor-2026-04-07,"[""Heat"", ""Raptors""]","[""70871994213720722155234983087455102941965774280031864144243496246158733227078"", ""110701987295409675357649111927198221764427852275061780680459232271073222223674""]",2026-04-07,2026-04-07,KXNBAGAME-26APR07MIATOR,KXNBAGAME-26APR07MIATOR-MIA,Miami at Toronto Winner?,Heat; Raptors,2026-04-07,https://kalshi.com/markets/KXNBAGAME-26APR07MIATOR-MIA,2026-04-21T23:30:00Z
Ice Hockey,NHL,high,blackhawks; sharks,1,1552116,blackhawks sharks blackhawks,Blackhawks,Blackhawks; Sharks,2026-04-07,https://polymarket.com/event/nhl-chi-sj-2026-04-06,nhl-chi-sj-2026-04-06,https://polymarket.com/event/nhl-chi-sj-2026-04-06,"[""Blackhawks"", ""Sharks""]","[""59301343961249167216202968354985268896061018168734357757630175669729503411170"", ""26581675696723026232663978020539515247942743004871385465016014315987120420289""]",2026-04-07,2026-04-07,KXNHLGAME-26APR06CHISJ,KXNHLGAME-26APR06CHISJ-CHI,Chicago at San Jose Winner?,Blackhawks; Sharks,2026-04-06,https://kalshi.com/markets/KXNHLGAME-26APR06CHISJ-CHI,2026-04-21T02:00:00Z
