id,venue,strategy,market,yesAsk,noAsk,bidDepth,askDepth,liquidity,profitPerDollar,numOutcomes,sumAsks,pair_id,poly_market_id,kalshi_market_id,timestamp,cost1,cost2,best_cost,best_direction,edge_raw,topBookDepthUsd,depthWithinProfitableBandUsd,edgePersistence,recentSnapshotsJson
miguel-pair-0012,KALSHI,BINARY_BUY_BOTH,will jalen brunson win the 2025 2026 nba mvp,0.01,0.01,1993.5194000000001,762.8327364,1.0,0.99,2,0.01,pair-0012,564167,KXMVESPORTSMULTIGAMEEXTENDED-S20261C428C01D61-DAB39A8E26B,2026-02-24T21:58:29.928183Z,0.011,0.01,0.01,POLY_NO_KAL_YES,0.99,2757.3521364000003,762.8527364,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.99}]"
miguel-pair-0014,KALSHI,BINARY_BUY_BOTH,will paolo banchero win the 2025 2026 nba mvp,0.01,0.01,1.0,439.4982345,1.0,0.99,2,0.01,pair-0014,564171,KXMVESPORTSMULTIGAMEEXTENDED-S20262FD3A57C997-BDB4EF89E2C,2026-02-24T21:58:29.928183Z,0.011,0.01,0.01,POLY_NO_KAL_YES,0.99,441.4982345,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.99517}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.99517}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.99}]"
miguel-pair-0043,KALSHI,BINARY_BUY_BOTH,will donte divincenzo win the 2025 2026 nba sixth man of the year,0.01,0.01,1.0,8.4681482,1.0,0.99,2,0.01,pair-0043,643633,KXMVESPORTSMULTIGAMEEXTENDED-S2026CE5CCB80D19-AC3A4033046,2026-02-24T21:58:29.928183Z,0.058,0.01,0.01,POLY_NO_KAL_YES,0.99,10.4681482,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.99}]"
miguel-pair-0045,KALSHI,BINARY_BUY_BOTH,will kevin porter win the 2025 2026 nba most improved player,0.01,0.01,1.0,11.0051368,1.0,0.99,2,0.01,pair-0045,643667,KXMVESPORTSMULTIGAMEEXTENDED-S2026A2843E2FA9E-336E396EDDD,2026-02-24T21:58:29.928183Z,0.011,0.01,0.01,POLY_NO_KAL_YES,0.99,13.0051368,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.99}]"
miguel-pair-0048,KALSHI,BINARY_BUY_BOTH,will derrick white win the 2025 2026 nba most improved player,0.01,0.01,1.0,12.1591389,1.0,0.99,2,0.01,pair-0048,643684,KXMVESPORTSMULTIGAMEEXTENDED-S2026782AFD948C3-EC6225A0442,2026-02-24T21:58:29.928183Z,0.011,0.01,0.01,POLY_NO_KAL_YES,0.99,14.1591389,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.99}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.99}]"
miguel-pair-0007,KALSHI,BINARY_BUY_BOTH,will the new orleans pelicans win the 2026 nba finals,0.01,0.01,2594.44056,14256.655725100001,1.0,0.988,2,0.012,pair-0007,553875,KXMVESPORTSMULTIGAMEEXTENDED-S2026E5D0BD085AB-DA7194C394E,2026-02-24T21:58:29.928183Z,0.012,1.009,0.012,POLY_YES_KAL_NO,0.988,16852.0962851,2594.46056,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.988}]"
miguel-pair-0009,KALSHI,BINARY_BUY_BOTH,will tre johnson win the 2025 26 nba rookie of the year award,0.0,0.01,1.0,137.80795120000002,1.0,0.988,2,0.012,pair-0009,561366,KXMVESPORTSMULTIGAMEEXTENDED-S20260014603CFAB-D896E56920F,2026-02-24T21:58:29.928183Z,0.012,0.0,0.012,POLY_YES_KAL_NO,0.988,139.80795120000002,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.988}]"
miguel-pair-0020,KALSHI,BINARY_BUY_BOTH,will real sociedad win the 2025 26 la liga,0.0,0.01,506.6966799999999,4673.0114533000005,1.0,0.988,2,0.012,pair-0020,566233,KXMVESPORTSMULTIGAMEEXTENDED-S20268E197123E9A-D65F0EF32E0,2026-02-24T21:58:29.928183Z,0.012,0.999,0.012,POLY_YES_KAL_NO,0.988,5180.708133300001,506.7166799999999,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.988}]"
miguel-pair-0034,KALSHI,BINARY_BUY_BOTH,will dyson daniels win the 2025 2026 nba defensive player of the year,0.01,0.01,1.1814200000000001,75.4964781,1.0,0.988,2,0.012,pair-0034,643554,KXMVESPORTSMULTIGAMEEXTENDED-S2026237DA582068-FEF7DEF7A4F,2026-02-24T21:58:29.928183Z,0.012,1.009,0.012,POLY_YES_KAL_NO,0.988,77.67789810000001,1.2014200000000002,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.988}]"
miguel-pair-0038,KALSHI,BINARY_BUY_BOTH,will bam adebayo win the 2025 2026 nba defensive player of the year,0.0,0.01,1.0,53.9830288,1.0,0.988,2,0.012,pair-0038,643578,KXMVESPORTSMULTIGAMEEXTENDED-S2026632CDF12D8B-2868B887D58,2026-02-24T21:58:29.928183Z,0.012,0.999,0.012,POLY_YES_KAL_NO,0.988,55.9830288,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.988}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.988}]"
