pair_id,poly_market_id,kalshi_market_id,title_clean,expiry_poly_utc,expiry_kalshi_utc,similarity_score,category_tag
pair-0001,553831,KXMVESPORTSMULTIGAMEEXTENDED-S20264065DD81B0C-14B91CEBE6B,will the los angeles kings win the 2026 nhl stanley cup,2026-06-30T00:00:00Z,2026-03-12T03:00:00Z,0.1538,sports
pair-0002,553836,KXMVESPORTSMULTIGAMEEXTENDED-S2026FF24D9A2F92-0F5787B39D3,will the new york rangers win the 2026 nhl stanley cup,2026-06-30T00:00:00Z,2026-03-11T00:30:00Z,0.1538,sports
pair-0003,553855,KXMVESPORTSMULTIGAMEEXTENDED-S2026F16EEF4FC52-9BE1E87F80E,will the san jose sharks win the 2026 nhl stanley cup,2026-06-30T00:00:00Z,2026-03-11T00:00:00Z,0.1538,sports
pair-0004,553856,KXMVESPORTSMULTIGAMEEXTENDED-S2026721B795D8B4-6DF73AD5213,will the oklahoma city thunder win the 2026 nba finals,2026-07-01T00:00:00Z,2026-03-11T00:30:00Z,0.1818,sports
pair-0005,553866,KXMVESPORTSMULTIGAMEEXTENDED-S20264A2145CE5A0-33E7CC002B3,will the san antonio spurs win the 2026 nba finals,2026-07-01T00:00:00Z,2026-03-11T01:00:00Z,0.1667,sports
pair-0006,553867,KXMVESPORTSMULTIGAMEEXTENDED-S20263DF2334C988-0F6F4685B86,will the golden state warriors win the 2026 nba finals,2026-07-01T00:00:00Z,2026-03-11T01:00:00Z,0.1429,sports
pair-0007,553875,KXMVESPORTSMULTIGAMEEXTENDED-S2026176DE54C9D0-1219666FEE3,will the new orleans pelicans win the 2026 nba finals,2026-07-01T00:00:00Z,2026-03-11T01:00:00Z,0.1429,sports
pair-0008,559681,KXMVESPORTSMULTIGAMEEXTENDED-S2026C5C68FA8C9E-90C57CBEAC5,will lebron james win the 2028 democratic presidential nomination,2028-11-07T00:00:00Z,2026-03-11T03:30:00Z,0.1667,politics
pair-0009,561370,KXMVESPORTSMULTIGAMEEXTENDED-S2026C70929CBB3F-C75B1562E67,will kon knueppel win the 2025 26 nba rookie of the year award,2026-05-18T00:00:00Z,2026-03-11T01:00:00Z,0.1538,sports
pair-0010,561371,KXMVESPORTSMULTIGAMEEXTENDED-S2026F99A4C4BE31-328F5E625AB,will derik queen win the 2025 26 nba rookie of the year award,2026-05-18T00:00:00Z,2026-03-11T01:00:00Z,0.1538,sports
pair-0011,564165,KXMVESPORTSMULTIGAMEEXTENDED-S202687508A2046E-960E7E6E83E,will anthony edwards win the 2025 2026 nba mvp,2026-06-10T00:00:00Z,2026-03-11T03:00:00Z,0.1818,sports
pair-0012,564167,KXMVESPORTSMULTIGAMEEXTENDED-S2026F667D07DCD5-F6C3FFE7A49,will jalen brunson win the 2025 2026 nba mvp,2026-06-10T00:00:00Z,2026-03-11T00:30:00Z,0.1818,sports
pair-0013,564169,KXMVESPORTSMULTIGAMEEXTENDED-S2026F416B681626-6390225A5C2,will donovan mitchell win the 2025 2026 nba mvp,2026-06-10T00:00:00Z,2026-03-11T00:30:00Z,0.1818,sports
pair-0014,564171,KXMVESPORTSMULTIGAMEEXTENDED-S20263267E69594D-8A44E099725,will paolo banchero win the 2025 2026 nba mvp,2026-06-10T00:00:00Z,2026-03-11T01:00:00Z,0.1429,sports
pair-0015,564175,KXMVESPORTSMULTIGAMEEXTENDED-S2026A729AB2E862-9F4047EC059,will jaylen brown win the 2025 2026 nba mvp,2026-06-10T00:00:00Z,2026-03-11T02:00:00Z,0.1667,sports
pair-0016,564183,KXMVESPORTSMULTIGAMEEXTENDED-S202639FAC47113F-E65EE8606E5,will tyrese maxey win the 2025 2026 nba mvp,2026-06-10T00:00:00Z,2026-03-11T00:00:00Z,0.1818,sports
pair-0017,564207,KXMVESPORTSMULTIGAMEEXTENDED-S20262588B5028A0-274E47765C2,will the washington wizards win the nba eastern conference finals,2026-06-13T00:00:00Z,2026-03-10T23:30:00Z,0.1250,sports
pair-0018,566139,KXMVESPORTSMULTIGAMEEXTENDED-S20267C998128F58-91CFAFC3127,will real madrid win the 2025 26 champions league,2026-05-31T00:00:00Z,2026-03-11T17:45:00Z,0.2000,other
